Stock,Transaction Date,Buy/Sell,Type,Amount,Senator
UN,2020-04-14,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
MSM,2020-04-14,Sale,Stock,"$15,001 - $50,000","David a Perdue , jr"
SYY,2020-04-14,Sale,Stock,"$15,001 - $50,000","David a Perdue , jr"
PG,2020-04-14,Sale,Stock,"$50,001 - $100,000","David a Perdue , jr"
EAF,2020-04-14,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
PAGP,2020-04-15,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
PSXP,2020-04-15,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
SUN,2020-04-15,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
TCP,2020-04-15,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
KMI,2020-04-15,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
EPD,2020-04-15,Sale,Stock,"$50,001 - $100,000","David a Perdue , jr"
LNG,2020-04-15,Sale,Stock,"$15,001 - $50,000","David a Perdue , jr"
TRP,2020-04-15,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
MMP,2020-04-15,Sale,Stock,"$15,001 - $50,000","David a Perdue , jr"
OKE,2020-04-15,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
PAA,2020-04-15,Sale,Stock,"$15,001 - $50,000","David a Perdue , jr"
ENB,2020-04-15,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
PBA,2020-04-15,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
SHLX,2020-04-15,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
WMB,2020-04-15,Sale,Stock,"$15,001 - $50,000","David a Perdue , jr"
TRGP,2020-04-15,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
MPLX,2020-04-15,Sale,Stock,"$15,001 - $50,000","David a Perdue , jr"
ET,2020-04-15,Sale,Stock,"$15,001 - $50,000","David a Perdue , jr"
DIS,2020-04-16,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
COP,2020-04-16,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
KO,2020-04-16,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
DD,2020-04-16,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
