Stock,Transaction Date,Buy/Sell,Type,Amount,Senator,Price
MMM,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,163.70932006835938
TGT,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,61.80091857910156
SYY,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,53.89353561401367
QCOM,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,42.91828155517578
PG,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,63.147918701171875
PII,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,96.00564575195312
PSX,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,87.07401275634766
PEP,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,86.51304626464844
PAYX,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,51.00807189941406
NVS,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,57.027442932128906
NSC,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,121.3321533203125
NKE,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,63.32953643798828
NEE,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,35.80519104003906
JPM,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,93.70367431640625
MSFT,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,87.50733947753906
MDT,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,69.53839111328125
MCD,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,138.3639678955078
LOW,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,75.44937133789062
JNJ,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,108.85818481445312
ITW,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,130.70167541503906
GIS,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,36.750709533691406
GD,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,194.3848114013672
FDS,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,183.04148864746094
XOM,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,59.387779235839844
ES,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,50.36833572387695
EMR,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,59.18465805053711
CL,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,58.678802490234375
CLX,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,99.94978332519531
CSCO,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,37.0441780090332
CB,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,122.03215026855469
CVX,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,96.63701629638672
BLK,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,444.6855163574219
BDX,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,209.31439208984375
ADP,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,103.7924575805664
ADI,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,78.90361022949219
AMGN,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,145.57435607910156
APD,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,144.20419311523438
ACN,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,139.57266235351562
ABT,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,53.15998077392578
T,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,17.00458526611328
AFL,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,39.532955169677734
VGK,2018-04-24,Sale,Stock,"$15,001 - $50,000",Shelley m Capito,49.365814208984375
UBSI,2018-04-24,Sale,Stock,"$15,001 - $50,000",Shelley m Capito,28.144153594970703
MS,2018-04-24,Sale,Stock,"$1,001 - $15,000",Shelley m Capito,45.23067092895508
LULU,2018-04-24,Sale,Stock,"$1,001 - $15,000",Shelley m Capito,96.9000015258789
IYE,2018-04-24,Sale,Stock,"$15,001 - $50,000",Shelley m Capito,31.874650955200195
KHC,2018-04-24,Sale,Stock,"$1,001 - $15,000",Shelley m Capito,43.74765396118164
CLB,2018-04-24,Sale,Stock,"$1,001 - $15,000",Shelley m Capito,111.1688003540039
CME,2018-04-24,Sale,Stock,"$15,001 - $50,000",Shelley m Capito,135.49078369140625
AL,2018-04-24,Sale,Stock,"$1,001 - $15,000",Shelley m Capito,38.08784103393555
WEC,2018-04-05,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,53.6772346496582
WMT,2018-04-05,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,79.69852447509766
VFC,2018-04-05,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,60.67058563232422
USB,2018-04-05,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,41.41961669921875
MMM,2018-04-05,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,177.98599243164062
SYY,2018-04-05,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,52.48375701904297
PII,2018-04-05,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,103.9272232055664
PSX,2018-04-05,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,77.93855285644531
PEP,2018-04-05,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,94.29953002929688
PAYX,2018-04-05,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,52.87140655517578
NSC,2018-04-05,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,120.19052124023438
NEE,2018-04-05,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,36.209251403808594
JPM,2018-04-05,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,94.95122528076172
MSFT,2018-04-05,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,86.81192016601562
MDT,2018-04-05,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,69.82749938964844
MCD,2018-04-06,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,141.8204803466797
LOW,2018-04-05,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,80.37129211425781
JNJ,2018-04-05,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,112.75736236572266
ITW,2018-04-05,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,138.62326049804688
GD,2018-04-05,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,192.85169982910156
ES,2018-04-05,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,50.851341247558594
EMR,2018-04-05,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,59.279964447021484
CL,2018-04-05,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,62.87215042114258
CLX,2018-04-05,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,112.29643249511719
CSCO,2018-04-05,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,35.41809844970703
CB,2018-04-05,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,121.73628234863281
CVX,2018-04-05,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,92.49678039550781
BLK,2018-04-05,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,466.0672912597656
BDX,2018-04-05,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,199.56846618652344
